section,table,new_2603,old_2506,table_status
pubsaf,txf_kp,0,1,old_only
pubsaf,cand_kipa,1,1,present_in_both
pubsaf,cand_liin,1,1,present_in_both
pubsaf,cand_thor,1,1,present_in_both
pubsaf,control,1,1,present_in_both
pubsaf,don_liv_fol,1,1,present_in_both
pubsaf,donor_deceased,1,1,present_in_both
pubsaf,donor_disposition,1,1,present_in_both
pubsaf,donor_live,1,1,present_in_both
pubsaf,fol_immuno,1,1,present_in_both
pubsaf,hist_opo_txc,1,1,present_in_both
pubsaf,immuno,1,1,present_in_both
pubsaf,institution,1,1,present_in_both
pubsaf,malig,1,1,present_in_both
pubsaf,mpexcept,1,1,present_in_both
pubsaf,mpexcept_orig_tumors,1,1,present_in_both
pubsaf,mpexcept_tumors,1,1,present_in_both
pubsaf,pra_hist,1,1,present_in_both
pubsaf,rec_histo,1,1,present_in_both
pubsaf,rec_histo_xmat,1,1,present_in_both
pubsaf,stathist_kipa,1,1,present_in_both
pubsaf,stathist_liin,1,1,present_in_both
pubsaf,stathist_thor,1,1,present_in_both
pubsaf,statjust_hr1a,1,1,present_in_both
pubsaf,statjust_hr1b,1,1,present_in_both
pubsaf,statjust_li1,1,1,present_in_both
pubsaf,statjust_li2a,1,1,present_in_both
pubsaf,statjust_li2b,1,1,present_in_both
pubsaf,treatment,1,1,present_in_both
pubsaf,tx_hl,1,1,present_in_both
pubsaf,tx_hr,1,1,present_in_both
pubsaf,tx_in,1,1,present_in_both
pubsaf,tx_ki,1,1,present_in_both
pubsaf,tx_kp,1,1,present_in_both
pubsaf,tx_li,1,1,present_in_both
pubsaf,tx_lu,1,1,present_in_both
pubsaf,tx_pa,1,1,present_in_both
pubsaf,txf_hl,1,1,present_in_both
pubsaf,txf_hr,1,1,present_in_both
pubsaf,txf_in,1,1,present_in_both
pubsaf,txf_ki,1,1,present_in_both
pubsaf,txf_li,1,1,present_in_both
pubsaf,txf_lu,1,1,present_in_both
pubsaf,txf_pa,1,1,present_in_both
supplement,donor_recovery_alt_room,1,0,new_only
supplement,ColumnDescriptions,1,1,present_in_both
supplement,JustFormHR,1,1,present_in_both
supplement,JustFormHRDataLink,1,1,present_in_both
supplement,JustFormHRStat1,1,1,present_in_both
supplement,JustFormHRStat2,1,1,present_in_both
supplement,JustFormHRStat3,1,1,present_in_both
supplement,JustFormHRStat4,1,1,present_in_both
supplement,RiskStratDataHR,1,1,present_in_both
supplement,StatusJustEpisode,1,1,present_in_both
supplement,TableDescriptions,1,1,present_in_both
supplement,ThorSupportDevice,1,1,present_in_both
supplement,can_country,1,1,present_in_both
supplement,canzip,1,1,present_in_both
supplement,deceasedtodonhosp,1,1,present_in_both
supplement,donorhospital,1,1,present_in_both
supplement,donzip,1,1,present_in_both
supplement,reczip,1,1,present_in_both
