file,variable,n,missing,pct_missing
cand_thor all thoracic registrations,CAN_ACPT_HIST_CIGARETTE,231545,183088,79.07231855578829
cand_thor all thoracic registrations,CAN_CIGARETTE_GT10,231545,173760,75.04372800103651
cand_thor all thoracic registrations,CAN_HIST_CIGARETTE,231545,86535,37.372864885875316
cand_thor all thoracic registrations,CAN_PACK_YEARS,231545,203303,87.80280291088125
cand_thor all thoracic registrations,CAN_OTHER_TOBACCO_USE,231545,177341,76.59029562288109
cand_thor HR,CAN_ACPT_HIST_CIGARETTE,147645,147645,100
cand_thor HR,CAN_CIGARETTE_GT10,147645,110908,75.11801957397812
cand_thor HR,CAN_HIST_CIGARETTE,147645,59447,40.26346980933997
cand_thor HR,CAN_PACK_YEARS,147645,132631,89.83101357987064
cand_thor HR,CAN_OTHER_TOBACCO_USE,147645,114819,77.7669409732805
cand_thor LU,CAN_ACPT_HIST_CIGARETTE,80120,32691,40.8025461807289
cand_thor LU,CAN_CIGARETTE_GT10,80120,60287,75.24588117823265
cand_thor LU,CAN_HIST_CIGARETTE,80120,24602,30.706440339490765
cand_thor LU,CAN_PACK_YEARS,80120,67053,83.69071392910634
cand_thor LU,CAN_OTHER_TOBACCO_USE,80120,59280,73.98901647528707
statjust_hr1a all heart status records,CANHX_CIG_ABUSE,196702,196247,99.76868562597228
statjust_hr1a all heart status records,CANHX_CIG_ABUSE_CESSATION,196702,196343,99.81749041697593
statjust_hr1a HR,CANHX_CIG_ABUSE,194255,193829,99.78070062546652
statjust_hr1a HR,CANHX_CIG_ABUSE_CESSATION,194255,193918,99.82651669197703
