Section,Organ,Variable,Role,Modeling form / weighting,"Missing, n/N (%)",Missingness denominator,Model handling
Exposure,Heart,NO2 waitlist-period exposure,Primary exposure; modeled independently from other pollutants,Day-weighted mean exposure during observed waitlist follow-up; HR per 10-ppb increase,"1,407/83,553 (1.7%)",Person waitlist episodes through 2025 with positive pollutant-specific follow-up,Rows with missing pollutant exposure were excluded from that pollutant-specific Cox model
Exposure,Heart,O3 waitlist-period exposure,Primary exposure; modeled independently from other pollutants,Day-weighted mean exposure during observed waitlist follow-up; HR per 10-ppb increase,"1,295/72,609 (1.8%)",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,Rows with missing pollutant exposure were excluded from that pollutant-specific Cox model
Exposure,Heart,PM2.5 waitlist-period exposure,Primary exposure; modeled independently from other pollutants,Day-weighted mean exposure during observed waitlist follow-up; HR per 5-ug/m3 increase,"1,295/72,609 (1.8%)",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,Rows with missing pollutant exposure were excluded from that pollutant-specific Cox model
Exposure,Kidney,NO2 waitlist-period exposure,Primary exposure; modeled independently from other pollutants,Day-weighted mean exposure during observed waitlist follow-up; HR per 10-ppb increase,"14,465/642,220 (2.3%)",Person waitlist episodes through 2025 with positive pollutant-specific follow-up,Rows with missing pollutant exposure were excluded from that pollutant-specific Cox model
Exposure,Kidney,O3 waitlist-period exposure,Primary exposure; modeled independently from other pollutants,Day-weighted mean exposure during observed waitlist follow-up; HR per 10-ppb increase,"13,237/568,012 (2.3%)",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,Rows with missing pollutant exposure were excluded from that pollutant-specific Cox model
Exposure,Kidney,PM2.5 waitlist-period exposure,Primary exposure; modeled independently from other pollutants,Day-weighted mean exposure during observed waitlist follow-up; HR per 5-ug/m3 increase,"13,237/568,012 (2.3%)",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,Rows with missing pollutant exposure were excluded from that pollutant-specific Cox model
Exposure,Liver,NO2 waitlist-period exposure,Primary exposure; modeled independently from other pollutants,Day-weighted mean exposure during observed waitlist follow-up; HR per 10-ppb increase,"4,987/237,771 (2.1%)",Person waitlist episodes through 2025 with positive pollutant-specific follow-up,Rows with missing pollutant exposure were excluded from that pollutant-specific Cox model
Exposure,Liver,O3 waitlist-period exposure,Primary exposure; modeled independently from other pollutants,Day-weighted mean exposure during observed waitlist follow-up; HR per 10-ppb increase,"4,565/209,450 (2.2%)",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,Rows with missing pollutant exposure were excluded from that pollutant-specific Cox model
Exposure,Liver,PM2.5 waitlist-period exposure,Primary exposure; modeled independently from other pollutants,Day-weighted mean exposure during observed waitlist follow-up; HR per 5-ug/m3 increase,"4,565/209,450 (2.2%)",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,Rows with missing pollutant exposure were excluded from that pollutant-specific Cox model
Exposure,Lung,NO2 waitlist-period exposure,Primary exposure; modeled independently from other pollutants,Day-weighted mean exposure during observed waitlist follow-up; HR per 10-ppb increase,"619/52,577 (1.2%)",Person waitlist episodes through 2025 with positive pollutant-specific follow-up,Rows with missing pollutant exposure were excluded from that pollutant-specific Cox model
Exposure,Lung,O3 waitlist-period exposure,Primary exposure; modeled independently from other pollutants,Day-weighted mean exposure during observed waitlist follow-up; HR per 10-ppb increase,"576/45,425 (1.3%)",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,Rows with missing pollutant exposure were excluded from that pollutant-specific Cox model
Exposure,Lung,PM2.5 waitlist-period exposure,Primary exposure; modeled independently from other pollutants,Day-weighted mean exposure during observed waitlist follow-up; HR per 5-ug/m3 increase,"576/45,425 (1.3%)",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,Rows with missing pollutant exposure were excluded from that pollutant-specific Cox model
Outcome and time scale,Heart,NO2 model adverse-event indicator,Survival outcome/time variable,Death or delisting due to deterioration before NO2 data end,"0/83,553 (0.0%)",Person waitlist episodes through 2025 with positive pollutant-specific follow-up,Required for model fitting
Outcome and time scale,Heart,NO2 model follow-up time,Survival outcome/time variable,"Days from waitlist start to adverse event, competing/nonadverse waitlist exit, administrative censoring, or NO2 data end","0/83,553 (0.0%)",Person waitlist episodes through 2025 with positive pollutant-specific follow-up,Required for model fitting
Outcome and time scale,Heart,O3 model adverse-event indicator,Survival outcome/time variable,Death or delisting due to deterioration before O3 data end,"0/72,609 (0.0%)",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,Required for model fitting
Outcome and time scale,Heart,O3 model follow-up time,Survival outcome/time variable,"Days from waitlist start to adverse event, competing/nonadverse waitlist exit, administrative censoring, or O3 data end","0/72,609 (0.0%)",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,Required for model fitting
Outcome and time scale,Heart,PM2.5 model adverse-event indicator,Survival outcome/time variable,Death or delisting due to deterioration before PM2.5 data end,"0/72,609 (0.0%)",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,Required for model fitting
Outcome and time scale,Heart,PM2.5 model follow-up time,Survival outcome/time variable,"Days from waitlist start to adverse event, competing/nonadverse waitlist exit, administrative censoring, or PM2.5 data end","0/72,609 (0.0%)",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,Required for model fitting
Outcome and time scale,Kidney,NO2 model adverse-event indicator,Survival outcome/time variable,Death or delisting due to deterioration before NO2 data end,"0/642,220 (0.0%)",Person waitlist episodes through 2025 with positive pollutant-specific follow-up,Required for model fitting
Outcome and time scale,Kidney,NO2 model follow-up time,Survival outcome/time variable,"Days from waitlist start to adverse event, competing/nonadverse waitlist exit, administrative censoring, or NO2 data end","0/642,220 (0.0%)",Person waitlist episodes through 2025 with positive pollutant-specific follow-up,Required for model fitting
Outcome and time scale,Kidney,O3 model adverse-event indicator,Survival outcome/time variable,Death or delisting due to deterioration before O3 data end,"0/568,012 (0.0%)",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,Required for model fitting
Outcome and time scale,Kidney,O3 model follow-up time,Survival outcome/time variable,"Days from waitlist start to adverse event, competing/nonadverse waitlist exit, administrative censoring, or O3 data end","0/568,012 (0.0%)",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,Required for model fitting
Outcome and time scale,Kidney,PM2.5 model adverse-event indicator,Survival outcome/time variable,Death or delisting due to deterioration before PM2.5 data end,"0/568,012 (0.0%)",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,Required for model fitting
Outcome and time scale,Kidney,PM2.5 model follow-up time,Survival outcome/time variable,"Days from waitlist start to adverse event, competing/nonadverse waitlist exit, administrative censoring, or PM2.5 data end","0/568,012 (0.0%)",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,Required for model fitting
Outcome and time scale,Liver,NO2 model adverse-event indicator,Survival outcome/time variable,Death or delisting due to deterioration before NO2 data end,"0/237,771 (0.0%)",Person waitlist episodes through 2025 with positive pollutant-specific follow-up,Required for model fitting
Outcome and time scale,Liver,NO2 model follow-up time,Survival outcome/time variable,"Days from waitlist start to adverse event, competing/nonadverse waitlist exit, administrative censoring, or NO2 data end","0/237,771 (0.0%)",Person waitlist episodes through 2025 with positive pollutant-specific follow-up,Required for model fitting
Outcome and time scale,Liver,O3 model adverse-event indicator,Survival outcome/time variable,Death or delisting due to deterioration before O3 data end,"0/209,450 (0.0%)",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,Required for model fitting
Outcome and time scale,Liver,O3 model follow-up time,Survival outcome/time variable,"Days from waitlist start to adverse event, competing/nonadverse waitlist exit, administrative censoring, or O3 data end","0/209,450 (0.0%)",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,Required for model fitting
