Organ,Pollutant,Observation window,"Candidates, n","Adverse events, n",Adjusted HR (95% CI),Primary p value,Interaction p: age,Interaction p: sex,Interaction p: race
Heart,PM₂.₅ per 5 µg/m³,2006-2023,74057,10183,1.45 (1.34-1.56),<0.001,<0.001,0.764,0.107
Heart,O₃ per 10 ppb,2006-2023,74057,10183,0.97 (0.89-1.05),0.399,0.594,0.038,0.074
Heart,NO₂ per 10 ppb,2006-2025,85409,11064,1.21 (1.15-1.26),<0.001,0.004,0.104,0.728
Kidney,PM₂.₅ per 5 µg/m³,2006-2023,606508,116476,1.46 (1.43-1.50),<0.001,,,
Kidney,O₃ per 10 ppb,2006-2023,606508,116476,1.05 (1.03-1.08),<0.001,,,
Kidney,NO₂ per 10 ppb,2006-2025,653933,131544,1.32 (1.31-1.34),<0.001,,,
Liver,PM₂.₅ per 5 µg/m³,2006-2023,216583,42649,1.34 (1.30-1.39),<0.001,<0.001,0.062,<0.001
Liver,O₃ per 10 ppb,2006-2023,216583,42649,1.06 (1.03-1.10),<0.001,<0.001,0.339,0.478
Liver,NO₂ per 10 ppb,2006-2025,246233,46119,1.18 (1.16-1.21),<0.001,<0.001,0.440,0.057
Lung,PM₂.₅ per 5 µg/m³,2006-2023,47065,5799,1.32 (1.21-1.44),<0.001,0.062,0.518,0.225
Lung,O₃ per 10 ppb,2006-2023,47065,5799,0.93 (0.85-1.02),0.148,0.030,0.197,0.983
Lung,NO₂ per 10 ppb,2006-2025,54481,6140,1.16 (1.09-1.22),<0.001,0.464,0.851,0.872
