Model,Applicable organs,Exposure window,Adjustment set,Center adjustment,Variance estimator
Primary model,"Heart, liver, and lung",Day-weighted mean exposure during observed waitlist follow-up,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),Listing center strata,Model-based
Primary model,Kidney,Day-weighted mean exposure during observed waitlist follow-up,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + strata(listing_center),Listing center strata,Model-based
No organ score,"Heart, liver, and lung",Day-weighted mean exposure during observed waitlist follow-up,age + sex + race + listing_year + strata(listing_center),Listing center strata,Model-based
No organ score,Kidney,Day-weighted mean exposure during observed waitlist follow-up,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + strata(listing_center),Listing center strata,Model-based
No listing center strata,"Heart, liver, and lung",Day-weighted mean exposure during observed waitlist follow-up,age + sex + race + listing_year + baseline_organ_score,Not included,Model-based
No listing center strata,Kidney,Day-weighted mean exposure during observed waitlist follow-up,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes,Not included,Model-based
Primary model + SVI proxy,"Heart, liver, and lung",Day-weighted mean exposure during observed waitlist follow-up,age + sex + race + listing_year + baseline_organ_score + zcta_svi_proxy + strata(listing_center),Listing center strata,Model-based
Primary model + SVI proxy,Kidney,Day-weighted mean exposure during observed waitlist follow-up,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + zcta_svi_proxy + strata(listing_center),Listing center strata,Model-based
Single-organ candidates only,"Heart, liver, and lung",Day-weighted mean exposure during observed waitlist follow-up; restricted to candidates listed for one organ group,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),Listing center strata,Model-based
Single-organ candidates only,Kidney,Day-weighted mean exposure during observed waitlist follow-up; restricted to candidates listed for one organ group,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + strata(listing_center),Listing center strata,Model-based
Primary model + multi-organ status,"Heart, liver, and lung",Day-weighted mean exposure during observed waitlist follow-up,age + sex + race + listing_year + baseline_organ_score + multi_organ_candidate + strata(listing_center),Listing center strata,Model-based
Primary model + multi-organ status,Kidney,Day-weighted mean exposure during observed waitlist follow-up,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + multi_organ_candidate + strata(listing_center),Listing center strata,Model-based
"Prior-year exposure, no organ score or center strata","Heart, liver, and lung",Mean exposure during the calendar year before listing,age + sex + race + listing_year,Not included,Model-based
"Prior-year exposure, no organ score or center strata",Kidney,Mean exposure during the calendar year before listing,age + sex + race + listing_year,Not included,Model-based
Multipollutant PM2.5 + NO2,"Heart, liver, and lung",Day-weighted mean exposure during observed waitlist follow-up; common data horizon through 2023,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),Listing center strata,Model-based
Multipollutant PM2.5 + NO2,Kidney,Day-weighted mean exposure during observed waitlist follow-up; common data horizon through 2023,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + strata(listing_center),Listing center strata,Model-based
Multipollutant PM2.5 + NO2 + O3,"Heart, liver, and lung",Day-weighted mean exposure during observed waitlist follow-up; common data horizon through 2023,age + sex + race + listing_year + baseline_organ_score + strata(listing_center),Listing center strata,Model-based
Multipollutant PM2.5 + NO2 + O3,Kidney,Day-weighted mean exposure during observed waitlist follow-up; common data horizon through 2023,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + strata(listing_center),Listing center strata,Model-based
