Organ	Pollutant	Primary model	No listing center strata	Single-organ candidates only	Primary model + multi-organ status	Multipollutant PM2.5 + NO2	Multipollutant PM2.5 + NO2 + O3
Heart	PM2.5	1.26 (1.20-1.33)	1.18 (1.13-1.22)	1.37 (1.30-1.45)	1.26 (1.20-1.33)	1.19 (1.12-1.27)	1.19 (1.12-1.27)
	O3	0.99 (0.93-1.06)	1.02 (0.97-1.07)	0.99 (0.92-1.07)	0.99 (0.93-1.06)		1.01 (0.94-1.09)
	NO2	1.18 (1.13-1.22)	1.07 (1.03-1.10)	1.24 (1.19-1.30)	1.18 (1.13-1.23)	1.08 (1.03-1.14)	1.09 (1.03-1.14)
Kidney	PM2.5	0.93 (0.92-0.94)	0.94 (0.93-0.95)	0.95 (0.93-0.96)	0.95 (0.94-0.96)	0.99 (0.97-1.01)	0.99 (0.97-1.01)
	O3	1.05 (1.03-1.07)	1.01 (1.00-1.02)	1.05 (1.03-1.07)	1.05 (1.03-1.07)		1.00 (0.98-1.02)
	NO2	0.90 (0.89-0.91)	0.88 (0.87-0.89)	0.91 (0.90-0.92)	0.92 (0.91-0.93)	0.91 (0.90-0.92)	0.91 (0.89-0.92)
Liver	PM2.5	1.03 (1.00-1.05)	1.04 (1.02-1.06)	1.04 (1.02-1.07)	1.03 (1.00-1.05)	1.04 (1.02-1.07)	1.04 (1.01-1.07)
	O3	1.03 (1.01-1.06)	0.98 (0.96-1.00)	1.03 (1.00-1.06)	1.04 (1.01-1.07)		1.02 (0.99-1.06)
	NO2	1.00 (0.98-1.01)	1.02 (1.01-1.04)	1.01 (0.99-1.03)	1.00 (0.98-1.02)	0.97 (0.95-0.99)	0.98 (0.96-1.00)
Lung	PM2.5	1.15 (1.08-1.23)	1.10 (1.05-1.16)	1.18 (1.10-1.27)	1.15 (1.08-1.23)	1.09 (1.01-1.18)	1.09 (1.01-1.18)
	O3	0.97 (0.89-1.06)	0.98 (0.92-1.04)	0.96 (0.88-1.05)	0.97 (0.89-1.06)		1.00 (0.92-1.09)
	NO2	1.13 (1.08-1.19)	1.14 (1.09-1.19)	1.16 (1.10-1.22)	1.13 (1.08-1.19)	1.08 (1.02-1.14)	1.08 (1.01-1.15)
