organ,organ_label,pollutant,exposure,endpoint,intervals,candidate_organ_episodes,people,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,concordance,adjustment_set,variance_estimator,center_adjustment
HR,Heart,pm25,Daily PM2.5-derived monthly exposure per 5 ug/m3,time_varying_death_or_deterioration_delist_cause_specific,775904,61449,61449,162,9050,1.1403479345160623,1.1008846066950195,1.1812259012858566,2.696870792104462e-13,0.6636857710084362,age + sex + race + zcta_svi_proxy + time_updated_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
KI,Kidney,pm25,Daily PM2.5-derived monthly exposure per 5 ug/m3,time_varying_death_or_deterioration_delist_cause_specific,17405373,486543,486543,277,100486,0.994177454236204,0.9833127382295728,1.0051622155237667,0.2976093471600865,0.6707659162605359,age + sex + race + zcta_svi_proxy + no_dialysis_time + time_updated_dialysis_duration_years + diabetes + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LI,Liver,pm25,Daily PM2.5-derived monthly exposure per 5 ug/m3,time_varying_death_or_deterioration_delist_cause_specific,2815706,179632,179632,157,38142,1.0323495709123838,1.0155651548151257,1.0494113858770506,1.4082272166905072e-4,0.7894894038310674,age + sex + race + zcta_svi_proxy + time_updated_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LU,Lung,pm25,Daily PM2.5-derived monthly exposure per 5 ug/m3,time_varying_death_or_deterioration_delist_cause_specific,371147,38786,38786,82,5168,1.131672903139496,1.0812423128135784,1.1844556437748135,1.047420130386299e-7,0.6612630740452007,age + sex + race + zcta_svi_proxy + time_updated_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
HR,Heart,o3,Daily O3-derived monthly exposure per 10 ppb,time_varying_death_or_deterioration_delist_cause_specific,923609,76760,76760,167,10342,1.0044604451315793,0.983335773309063,1.0260389311767872,0.6815210671532556,0.6658773922099606,age + sex + race + zcta_svi_proxy + time_updated_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
KI,Kidney,o3,Daily O3-derived monthly exposure per 10 ppb,time_varying_death_or_deterioration_delist_cause_specific,20633921,592129,592129,280,123989,0.9858765661179644,0.9799899685661678,0.9917985232467444,3.23775747891898e-6,0.6697617501509205,age + sex + race + zcta_svi_proxy + no_dialysis_time + time_updated_dialysis_duration_years + diabetes + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LI,Liver,o3,Daily O3-derived monthly exposure per 10 ppb,time_varying_death_or_deterioration_delist_cause_specific,3245102,218837,218837,160,43864,0.9878920401854848,0.9782726739743464,0.9976059937328188,0.01468457005394883,0.7907178004030122,age + sex + race + zcta_svi_proxy + time_updated_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LU,Lung,o3,Daily O3-derived monthly exposure per 10 ppb,time_varying_death_or_deterioration_delist_cause_specific,424842,48311,48311,85,5776,0.9648199974576636,0.9381789633329696,0.9922175447072222,0.01218156672994132,0.6562779041551556,age + sex + race + zcta_svi_proxy + time_updated_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
HR,Heart,no2,"Monthly NO2 when available, annual NO2 before monthly coverage, per 10 ppb",time_varying_death_or_deterioration_delist_cause_specific,969185,82122,82122,168,10772,1.2837952461056872,1.2340593877423185,1.3355355911507434,2.877561644474246e-35,0.6728472484573731,age + sex + race + zcta_svi_proxy + time_updated_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
KI,Kidney,no2,"Monthly NO2 when available, annual NO2 before monthly coverage, per 10 ppb",time_varying_death_or_deterioration_delist_cause_specific,21563296,628132,628132,281,131452,0.8968552791708059,0.8856636347283403,0.908188346271282,9.54184916275534e-65,0.6690852246683541,age + sex + race + zcta_svi_proxy + no_dialysis_time + time_updated_dialysis_duration_years + diabetes + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LI,Liver,no2,"Monthly NO2 when available, annual NO2 before monthly coverage, per 10 ppb",time_varying_death_or_deterioration_delist_cause_specific,3357717,232844,232844,163,45481,1.013997969295504,0.9960683407443398,1.032250338332268,0.12671762332342582,0.791718888861753,age + sex + race + zcta_svi_proxy + time_updated_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
LU,Lung,no2,"Monthly NO2 when available, annual NO2 before monthly coverage, per 10 ppb",time_varying_death_or_deterioration_delist_cause_specific,439313,51932,51932,85,5939,1.3503609470474842,1.2827266213735253,1.4215614277642636,2.162968057420435e-30,0.660350675786715,age + sex + race + zcta_svi_proxy + time_updated_organ_score + strata(listing_center),model_based,stratified_baseline_hazard_by_listing_center
