organ,model,endpoint,term,exposure,n,adverse_events,hazard_ratio,conf_low,conf_high,p_value,concordance
HR,temperature_humidity,death_or_deterioration_delist_cause_specific,tmean_waitlist_5c,Mean temperature per 5 C,73624,9823,1.0048067038144863,0.970881124936298,1.039917746981411,0.7843648920813037,0.6407492000034387
HR,temperature_humidity,death_or_deterioration_delist_cause_specific,temp_range_waitlist_5c,Diurnal temperature range per 5 C,73624,9823,1.0538731249777167,0.9674326481042819,1.1480370914984652,0.22947965303644308,0.6407492000034387
HR,temperature_humidity,death_or_deterioration_delist_cause_specific,rhmean_waitlist_10pct,Mean relative humidity per 10 pct,73624,9823,0.9799888462479481,0.9333532045961609,1.0289546701518175,0.4164645149542002,0.6407492000034387
HR,pollution,death_or_deterioration_delist_cause_specific,pm25_waitlist_5ug,PM2.5 per 5 ug/m3,73624,9823,1.1082980893545167,1.0235834246045394,1.2000239798152594,0.011260283517844628,0.6413695630530958
HR,pollution,death_or_deterioration_delist_cause_specific,o3_waitlist_10ppb,Ozone per 10 ppb,73624,9823,1.0383216651114293,0.9775537977626594,1.1028670572476527,0.22164610888600422,0.6413695630530958
HR,pollution,death_or_deterioration_delist_cause_specific,no2_waitlist_10unit,NO2 per 10 units,73624,9823,1.151080750663303,1.083711339606568,1.2226382119694514,4.818130676060125e-6,0.6413695630530958
HR,combined_environment,death_or_deterioration_delist_cause_specific,tmean_waitlist_5c,Mean temperature per 5 C,73624,9823,0.9704487429894594,0.9306348326788006,1.011965950230948,0.1604851991738805,0.6416452183375657
HR,combined_environment,death_or_deterioration_delist_cause_specific,temp_range_waitlist_5c,Diurnal temperature range per 5 C,73624,9823,1.201973043990928,1.086857439208386,1.3292812344672316,3.4162939370964223e-4,0.6416452183375657
HR,combined_environment,death_or_deterioration_delist_cause_specific,rhmean_waitlist_10pct,Mean relative humidity per 10 pct,73624,9823,1.0491057327621671,0.9926364132291614,1.1087874914179199,0.08947901575052697,0.6416452183375657
HR,combined_environment,death_or_deterioration_delist_cause_specific,pm25_waitlist_5ug,PM2.5 per 5 ug/m3,73624,9823,1.1196094837935096,1.0338699809268155,1.2124594188107125,0.005446096981644971,0.6416452183375657
HR,combined_environment,death_or_deterioration_delist_cause_specific,o3_waitlist_10ppb,Ozone per 10 ppb,73624,9823,1.0364142944387869,0.9555435942351288,1.124129339778435,0.3882035390883828,0.6416452183375657
HR,combined_environment,death_or_deterioration_delist_cause_specific,no2_waitlist_10unit,NO2 per 10 units,73624,9823,1.2095527086542714,1.131365518495477,1.293143313187102,2.405352721109774e-8,0.6416452183375657
KI,temperature_humidity,death_or_deterioration_delist_cause_specific,tmean_waitlist_5c,Mean temperature per 5 C,678254,117219,0.8500678353908191,0.8275640323278273,0.8731835804093759,1.766609024180704e-32,0.646963189260769
KI,temperature_humidity,death_or_deterioration_delist_cause_specific,temp_range_waitlist_5c,Diurnal temperature range per 5 C,678254,117219,1.2212081253830709,1.1873383829639232,1.2560440283070915,4.423117487488757e-44,0.646963189260769
KI,temperature_humidity,death_or_deterioration_delist_cause_specific,rhmean_waitlist_10pct,Mean relative humidity per 10 pct,678254,117219,0.9304865509954499,0.9142742889651586,0.9469862950683963,9.446763493377016e-16,0.646963189260769
KI,pollution,death_or_deterioration_delist_cause_specific,pm25_waitlist_5ug,PM2.5 per 5 ug/m3,678254,117219,1.4582131812550214,1.4096081397264844,1.5084941850566265,1.9125904895649593e-105,0.6515258682405308
KI,pollution,death_or_deterioration_delist_cause_specific,o3_waitlist_10ppb,Ozone per 10 ppb,678254,117219,1.2149353386543633,1.1780637306803992,1.2529609720338974,3.283777406651648e-35,0.6515258682405308
KI,pollution,death_or_deterioration_delist_cause_specific,no2_waitlist_10unit,NO2 per 10 units,678254,117219,1.2390192701325684,1.2097068976158298,1.269041909891937,6.512649404969823e-69,0.6515258682405308
KI,combined_environment,death_or_deterioration_delist_cause_specific,tmean_waitlist_5c,Mean temperature per 5 C,678254,117219,0.7322209037881592,0.7119053025809272,0.7531162501537921,1.642853282477424e-104,0.656101541625792
KI,combined_environment,death_or_deterioration_delist_cause_specific,temp_range_waitlist_5c,Diurnal temperature range per 5 C,678254,117219,1.6542510890412705,1.5961597527939033,1.7144566267907733,1.197154090053144e-167,0.656101541625792
